1;autre
2;kayak
3;vélo
4;glisse nautique
5;accrobranche
6;nautisme
7;voile
8;VTT
9;tennis
10;baignade
11;patinage
12;parcours dans les arbres
13;pêche
14;sports de raquette
15;ruches
16;sensation
17;promenade assistée
18;équitation
19;animations enfants
20;ping-pong
21;disc-golf
22;parcours santé
23;parcours d'orientation
24;football
25;tir à l'arc
26;plaisance
27;pétanque
28;escalade
29;skate-parc
30;canoë
31;sports de balle
32;mini-Golf
33;aviron
34;pédalos
35;balade
36;activités nature
37;biathlon
38;téléski
39;luge
40;volley
41;paddle
42;basket
43;rafting
44;nature et astronomie
45;golf
46;fitness
47;kite
48;jet-ski 
49;plongée
50;trottinette
51;karting
52;surf
53;marche nordique
54;catamaran
55;planche à voile
56;bateau
57;saut à l'elastic
58;base nautique
59;avion
60;croisière
